Seed,Model,Dataset,Approach,Value,accuracy_10,f1_10,accuracy_50,f1_50,accuracy_100,f1_100,accuracy_250,f1_250,accuracy_500,f1_500,accuracy_750,f1_750,accuracy_1000,f1_1000,accuracy_2500,f1_2500,accuracy_5000,f1_5000,accuracy_7500,f1_7500,accuracy_9000,f1_9000
21,MLP,MNISTbinary,IneurAL (official),3733.0,0.7158,0.7072532958629181,0.7765,0.7738752667854194,0.8375,0.8370208360222445,0.8828,0.8825053524857621,0.9233,0.9232713122568712,0.9294,0.9293995706528035,0.9395,0.9394028706154846,0.9644,0.9644016290875392,,,,,,
22,MLP,MNISTbinary,IneurAL (official),4122.0,0.5805,0.5036409046079611,0.8145,0.8144881147447469,0.8473,0.8472466291633047,0.8839,0.883886433274217,0.9289,0.9289003092850279,0.9462,0.9462003099522717,0.9422,0.9422018334283941,0.9636,0.9636017836445911,,,,,,
23,MLP,MNISTbinary,IneurAL (official),4171.0,0.6808,0.670011152674596,0.8036,0.8035765241657951,0.828,0.8276729497354498,0.8844,0.8841050940515883,0.9201,0.9200157184761109,0.9241,0.9240746964248221,0.9408,0.9408020959718429,0.9623,0.962298516825305,,,,,,
24,MLP,MNISTbinary,IneurAL (official),4128.0,0.7461,0.7369382334271911,0.806,0.8033133810444806,0.8458,0.8458004503599988,0.8845,0.8844983675826253,0.9313,0.9312597447845005,0.9437,0.943703078103501,0.9442,0.9441779726611137,0.9599,0.9599010694717163,,,,,,
0,MLP,MNISTbinary,IneurAL (tuned),5081.0,,,,,,,,,,,,,,,,,,,,,,
1,MLP,MNISTbinary,IneurAL (tuned),1673.0,0.6478,0.623423032982497,0.6763,0.653156491552822,0.8064,0.8062097523020558,0.8895,0.8895010908518721,0.9091,0.9088223135310134,0.9441,0.9441028595323209,0.9546,0.9545959484182686,,,,,,,,
2,MLP,MNISTbinary,IneurAL (tuned),1557.0,0.6208,0.5672206480265767,0.8037,0.8022012492291999,0.8464,0.8463270893548983,0.8962,0.8960117270778921,0.9315,0.931476058269066,0.9524,0.952391313244277,0.9544,0.9543792015947365,,,,,,,,
3,MLP,MNISTbinary,IneurAL (tuned),1476.0,0.6001,0.5838406671562966,0.7869,0.7869009271799395,0.8515,0.8508637331330068,0.9206,0.9205429137158104,0.9438,0.9438028527951876,0.9523,0.9522936564147724,0.9554,0.9553939484241273,,,,,,,,
4,MLP,MNISTbinary,IneurAL (tuned),1596.0,0.7095,0.7066855832440851,0.8091,0.8091103608227737,0.8046,0.803422137492957,0.9,0.8999670550964806,0.9257,0.9256594582381835,0.9444,0.944373607865445,0.9565,0.9564902446790122,,,,,,,,
5,MLP,MNISTbinary,IneurAL (tuned),1627.0,0.5441,0.49627604184478513,0.7564,0.7545009606678897,0.769,0.7592365923918764,0.8966,0.8963545817960585,0.9345,0.934500096285001,0.9435,0.9434357976641626,0.9626,0.9626001092080043,,,,,,,,
