,Model,Dataset,Approach,Value
350,MLP,adult,Neural-CBP,2189.0
351,MLP,adult,Neural-CBP,2431.0
352,MLP,adult,Neural-CBP,2431.0
353,MLP,adult,Neural-CBP,2174.0
354,MLP,adult,Neural-CBP,2387.0
355,MLP,adult,Neural-CBP,2360.0
356,MLP,adult,Neural-CBP,2131.0
357,MLP,adult,Neural-CBP,2398.0
358,MLP,adult,Neural-CBP,2398.0
359,MLP,adult,Neural-CBP,2903.0
360,MLP,adult,Neural-CBP,2340.0
361,MLP,adult,Neural-CBP,2323.0
362,MLP,adult,Neural-CBP,2169.0
363,MLP,adult,Neural-CBP,2363.0
364,MLP,adult,Neural-CBP,2228.0
365,MLP,adult,Neural-CBP,2566.0
366,MLP,adult,Neural-CBP,2619.0
367,MLP,adult,Neural-CBP,2437.0
368,MLP,adult,Neural-CBP,2112.0
369,MLP,adult,Neural-CBP,2412.0
370,MLP,adult,Neural-CBP,2132.0
371,MLP,adult,Neural-CBP,7602.0
372,MLP,adult,Neural-CBP,2148.0
373,MLP,adult,Neural-CBP,2193.0
374,MLP,adult,IneurAL (official),4261.0
375,MLP,adult,IneurAL (official),8390.0
376,MLP,adult,IneurAL (official),9672.0
377,MLP,adult,IneurAL (official),9819.0
378,MLP,adult,IneurAL (official),9920.0
379,MLP,adult,IneurAL (official),9912.0
380,MLP,adult,IneurAL (official),9942.0
381,MLP,adult,IneurAL (official),9927.0
382,MLP,adult,IneurAL (official),9914.0
383,MLP,adult,IneurAL (official),7584.0
384,MLP,adult,IneurAL (official),9920.0
385,MLP,adult,IneurAL (official),9838.0
386,MLP,adult,IneurAL (official),7556.0
387,MLP,adult,IneurAL (official),9915.0
388,MLP,adult,IneurAL (official),5012.0
389,MLP,adult,IneurAL (official),8813.0
390,MLP,adult,IneurAL (official),8003.0
391,MLP,adult,IneurAL (official),9948.0
392,MLP,adult,IneurAL (official),2422.0
393,MLP,adult,IneurAL (official),9931.0
394,MLP,adult,IneurAL (official),6120.0
395,MLP,adult,IneurAL (official),7557.0
396,MLP,adult,IneurAL (official),9957.0
397,MLP,adult,IneurAL (official),8759.0
398,MLP,adult,IneurAL (official),7648.0
399,MLP,adult,IneurAL (tuned),2405.0
400,MLP,adult,IneurAL (tuned),2424.0
401,MLP,adult,IneurAL (tuned),2403.0
402,MLP,adult,IneurAL (tuned),2375.0
403,MLP,adult,IneurAL (tuned),7568.0
